Longitude,Latitude,Altitude
79.42359924,10.74668887,15308
79.43183898,10.74634555,15432
79.43939208,10.74634555,15552
79.44694518,10.74600222,15680
79.45449828,10.74600222,15808
79.46205138,10.7456589,15936
79.47029113,10.74531558,16076
79.47784423,10.74531558,16216
79.48539733,10.74497226,16356
79.49295043,10.74497226,16488
79.50119018,10.74462893,16608
79.50874328,10.74428561,16700
79.51629638,10.74428561,16792
79.52453612,10.74394229,16872
79.53208922,10.74394229,16960
79.53964233,10.74359896,17052
79.54788207,10.74325564,17144
79.55543517,10.74325564,17228
79.56367492,10.74291232,17312
79.57122802,10.74291232,17404
79.57946776,10.742569,17508
79.58770751,10.742569,17620
79.59526061,10.74222567,17740
79.60350036,10.74222567,17856
79.61105346,10.74188235,17984
79.6192932,10.74153903,18108
79.62753295,10.74153903,18216
79.63508605,10.7411957,18324
79.6433258,10.74085238,18428
79.6508789,10.74085238,18528
79.65911864,10.74050906,18624
79.66735839,10.74050906,18716
79.67559813,10.74016574,18800
79.68315123,10.73982241,18884
79.69139098,10.73982241,18964
79.69963073,10.73947909,19040
79.70787047,10.73913577,19120
79.71611022,10.73913577,19204
79.72434996,10.73879245,19296
79.73258971,10.73844912,19396
79.74082946,10.73844912,19496
79.7490692,10.7381058,19596
79.75730895,10.73776248,19696
79.76554869,10.73776248,19800
79.77378844,10.73741915,19908
79.78202819,10.73741915,20024
79.79026793,10.73707583,20144
79.79782103,10.73673251,20260
79.80606078,10.73673251,20372
79.81430053,10.73638919,20472
79.82254027,10.73638919,20556
79.83146666,10.73604586,20640
79.83970641,10.73570254,20736
79.84794615,10.73570254,20844
79.8561859,10.73535922,20972
79.86442565,10.73535922,21084
79.87266539,10.73501589,21180
79.88090514,10.73501589,21244
79.88914488,10.73467257,21284
79.89738463,10.73432925,21312
79.90562438,10.73432925,21352
79.91386412,10.73398593,21396
79.92279051,10.73398593,21456
79.93103026,10.7336426,21516
79.93927001,10.7336426,21580
79.9481964,10.73329928,21648
79.95643614,10.73295596,21712
79.96467589,10.73295596,21776
79.97360228,10.73261263,21844
79.98184203,10.73261263,21904
79.99076842,10.73226931,21964
79.99900816,10.73192599,22020
80.00793456,10.73158267,22072
80.0161743,10.73158267,22128
80.02510069,10.73123934,22188
80.03334044,10.73089602,22260
80.04226683,10.73089602,22340
80.05119322,10.7305527,22420
80.05943297,10.73020938,22488
80.06835936,10.73020938,22556
80.07659911,10.72986605,22620
80.0855255,10.72952273,22680
80.09445189,10.72952273,22744
80.10269164,10.72917941,22800
80.11161803,10.72883608,22860
80.12054442,10.72849276,22928
80.12947081,10.72849276,23008
80.13771056,10.72814944,23104
80.14663695,10.72780612,23196
80.15556334,10.72780612,23288
80.1638031,10.72746279,23372
80.17272949,10.72711947,23436
80.18165588,10.72677615,23492
80.19058228,10.72677615,23552
80.19882202,10.72643282,23608
80.20774841,10.7260895,23672
80.2166748,10.7260895,23740
80.2256012,10.72574618,23812
80.23384094,10.72540286,23864
80.24276733,10.72505953,23908
80.25169372,10.72505953,23960
80.26062012,10.72471621,24016
80.26954651,10.72437289,24088
80.2784729,10.72402956,24148
80.28739929,10.72402956,24204
80.29632568,10.72368624,24260
80.30525207,10.72334292,24308
80.31417847,10.72334292,24364
80.32310486,10.7229996,24428
80.3313446,10.72265627,24492
80.34027099,10.72231295,24556
80.34919739,10.72231295,24616
80.35881042,10.72196963,24668
80.36773681,10.72162631,24716
80.37666321,10.72128298,24760
80.3855896,10.72128298,24832
80.39451599,10.72093966,24896
80.40344238,10.72059634,24960
80.41236877,10.72025301,25016
80.42129516,10.72025301,25068
80.43022155,10.71990969,25120
80.43914795,10.71956637,25172
80.44876098,10.71922305,25228
80.45768737,10.71922305,25284
80.46661377,10.71887972,25340
80.47554016,10.7185364,25380
80.48446655,10.71819308,25408
80.49407959,10.71819308,25440
80.50300598,10.71784975,25476
80.51193237,10.71750643,25532
80.52154541,10.71716311,25604
80.5304718,10.71716311,25664
80.53939819,10.71681979,25724
80.54901123,10.71647646,25784
80.55793762,10.71613314,25864
80.56686401,10.71613314,25940
80.57647705,10.71578982,26020
80.58540344,10.71544649,26088
80.59432983,10.71510317,26156
80.60394287,10.71475985,26212
80.61286926,10.71475985,26276
80.62179565,10.71441653,26340
80.63140869,10.7140732,26408
80.64033508,10.71372988,26480
80.64926147,10.71372988,26556
80.65887451,10.71338656,26616
80.6678009,10.71304324,26680
80.67741393,10.71269991,26728
80.68634033,10.71235659,26788
80.69526672,10.71235659,26852
80.70487975,10.71201327,26900
80.71380615,10.71166994,26944
80.72341918,10.71132662,26984
80.73234557,10.71132662,27012
80.74195861,10.7109833,27036
80.750885,10.71063998,27076
80.76049804,10.71029665,27112
80.76942443,10.70995333,27160
80.77903747,10.70995333,27184
80.78796386,10.70961001,27204
80.7975769,10.70926668,27232
80.80650329,10.70892336,27276
80.81611633,10.70858004,27328
80.82572936,10.70823672,27396
80.83465575,10.70823672,27468
80.84426879,10.70789339,27564
80.85388183,10.70755007,27668
80.86280822,10.70720675,27764
80.87242126,10.70720675,27864
80.88134765,10.70686342,27976
80.89096069,10.7065201,28088
80.89988708,10.70617678,28192
80.90881347,10.70583346,28276
80.91842651,10.70583346,28340
80.9273529,10.70549013,28396
80.93696593,10.70514681,28448
